creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
abscess,,265,2301,4,Reptile-Dragon,Arachnid,160,65-70,75-80,30-35,40-45,35-35,7455-7455,130-135,120-125,855-860,130-135,120-125,130-135,125-130,100-105,90-95,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
abyssal infernal,,713,0,4,Demon,Elemental-Fey,160,45-55,70-85,60-65,30-40,65-75,30000-30000,100-140,620-675,1225-1255,100-140,620-675,110-120,110-120,120-120,110-120,0-0,0-0,105-135,120-135,100-100,,,,true,,,,,,,,,,,,
abyssal abomination,,742,769,4,Demon,Elemental-Fey,112.9,30-35,100-100,50-55,60-65,70-80,600-600,80-90,200-220,200-220,80-90,200-220,80-90,100-100,85-90,0-0,0-0,0-0,100-120,110-125,100-100,,,,,,,,,,,,,,,,
abyssmal horror,,312,0,4,Demon,Elemental-Fey,160,30-35,100-100,50-55,60-65,75-80,6000-6000,80-90,400-420,400-425,80-90,400-420,80-90,100-100,115-120,0-0,0-0,0-0,110-120,200-200,200-200,,,,,,,,,,,,,,,,
acid elemental,,158,0,4,Elemental,Demon,83.9,45-55,40-50,20-30,10-20,30-40,195-215,65-85,270-295,325-355,65-85,270-295,70-90,80-90,60-75,30-60,0-0,0-0,70-85,75-85,0-0,,,,,,,,,,,,,,,,
acid elemental renowned,,158,0,4,Elemental-Acid Elemental,Demon,160,45-55,40-50,20-30,10-20,30-40,2180-2230,130-140,375-400,525-555,130-140,375-400,85-100,90-100,70-85,65-80,0-0,0-0,80-95,80-95,0-0,,,,true,,,,,,,,,,,,
acid slug,,51,242-243-244-245,4,None,None,74.8,10-15,0-0,10-15,60-70,10-15,330-370,80-85,15-25,210-300,80-85,15-25,80-80,50-50,25-25,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
agapite elemental,,107,0,4,Elemental,Demon,72.9,30-40,40-50,40-50,30-40,10-20,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
air elemental,,16,0,4,Elemental-Air Elemental,Demon,75.7,35-45,15-25,10-20,10-20,25-35,75-95,165-185,100-125,125-155,165-185,100-125,60-80,60-80,60-75,0-0,0-0,0-0,60-75,65-75,0-0,,,,,,,,,,,,,,,,
air elemental (summoned),,16,0,,Elemental-Air Elemental,Demon,77.1,40-50,30-40,35-45,50-60,70-80,150-150,50-50,100-100,200-200,200-200,100-100,80-80,100-100,60-60,0-0,0-0,0-0,70-70,70-70,90-90,,,,,,,,,,,,,,,,
air elemental,,16,0,4,Elemental-Air Elemental,Demon,110,80-90,55-65,55-65,55-65,50-60,750-950,190-200,730-780,270-340,190-200,150-180,90-110,90-110,60-100,0-0,0-0,0-0,100-110,100-110,0-0,,,,,,shame,,,,,,,,,,
